Race2,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,8,25,23,0,team_0,10
1,2,23,24,15,4,team_1,37
2,3,19,16,19,4,team_2,41
3,4,4,21,18,3,team_3,43
4,5,34,21,15,4,team_4,31
5,6,2,23,22,1,team_5,3
6,7,12,18,24,4,team_6,48
7,8,31,21,15,2,team_7,15
8,9,20,22,15,3,team_8,1
9,10,6,18,23,3,team_9,22
10,11,33,24,24,2,team_10,38
11,12,12,22,18,3,team_11,31
12,13,13,25,23,1,team_12,15
13,14,10,23,21,0,team_13,27
14,15,25,17,22,3,team_14,18
15,16,35,16,25,2,team_15,13
16,17,31,20,15,3,team_16,49
17,18,31,25,16,0,team_17,15
18,19,32,23,23,4,team_18,29
19,20,23,19,25,4,team_19,46
