Race2,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,4,24,15,2,team_0,26
1,2,2,17,24,2,team_1,39
2,3,14,18,17,1,team_2,39
3,4,20,15,20,0,team_3,40
4,5,35,22,24,4,team_4,12
5,6,20,17,16,0,team_5,9
6,7,4,24,15,0,team_6,11
7,8,16,18,24,0,team_7,24
8,9,11,21,21,3,team_8,31
9,10,14,17,17,1,team_9,33
10,11,31,15,19,2,team_10,2
11,12,5,20,16,4,team_11,23
12,13,5,24,21,1,team_12,2
13,14,5,24,15,4,team_13,5
14,15,28,17,24,4,team_14,5
15,16,5,23,20,4,team_15,41
16,17,13,17,24,2,team_16,44
17,18,16,23,20,0,team_17,13
18,19,26,18,25,2,team_18,22
19,20,19,19,15,0,team_19,6
