Race3,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,13,16,19,1,team_0,45
1,2,8,24,19,2,team_1,7
2,3,14,24,19,3,team_2,34
3,4,22,17,21,2,team_3,39
4,5,6,20,18,0,team_4,11
5,6,35,23,24,4,team_5,49
6,7,31,24,25,1,team_6,44
7,8,8,22,23,4,team_7,25
8,9,6,20,25,2,team_8,46
9,10,17,23,15,2,team_9,4
10,11,9,17,15,2,team_10,38
11,12,18,23,23,4,team_11,22
12,13,2,23,16,0,team_12,13
13,14,33,17,24,2,team_13,23
14,15,2,20,23,3,team_14,36
15,16,2,19,17,3,team_15,6
16,17,32,17,16,3,team_16,35
17,18,18,23,22,3,team_17,30
18,19,33,23,19,0,team_18,41
19,20,33,17,17,2,team_19,10
