Race0,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,25,25,17,0,team_0,42
1,2,16,16,17,2,team_1,50
2,3,8,21,17,3,team_2,34
3,4,24,18,22,1,team_3,30
4,5,31,23,21,2,team_4,11
5,6,6,18,24,3,team_5,25
6,7,11,21,25,1,team_6,22
7,8,8,25,20,3,team_7,50
8,9,0,23,21,0,team_8,3
9,10,4,22,20,0,team_9,44
10,11,26,17,20,1,team_10,24
11,12,32,20,23,3,team_11,20
12,13,3,17,24,0,team_12,22
13,14,5,15,17,0,team_13,7
14,15,1,19,17,4,team_14,35
15,16,13,20,24,1,team_15,10
16,17,30,21,24,1,team_16,24
17,18,12,25,18,3,team_17,48
18,19,20,16,19,2,team_18,45
19,20,28,16,22,4,team_19,15
