Race1,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,10,17,21,3,team_0,49
1,2,24,18,23,0,team_1,5
2,3,23,18,18,1,team_2,39
3,4,13,24,25,3,team_3,13
4,5,4,24,15,0,team_4,32
5,6,28,24,22,2,team_5,25
6,7,24,23,17,3,team_6,14
7,8,3,25,20,4,team_7,22
8,9,20,21,22,3,team_8,46
9,10,11,15,17,4,team_9,35
10,11,25,20,16,3,team_10,29
11,12,21,23,21,3,team_11,17
12,13,32,21,19,0,team_12,33
13,14,30,21,18,3,team_13,36
14,15,21,19,22,3,team_14,43
15,16,10,16,18,3,team_15,32
16,17,12,18,21,2,team_16,44
17,18,3,21,22,3,team_17,18
18,19,33,22,17,4,team_18,19
19,20,2,17,19,2,team_19,37
